sector,symbol,date_calendar,date_event,eps,estimatedEPS,eps_surprise,PRE_CAR,AR_0,AR_1,DRIFT_2_5,DRIFT_1_5,sentiment_0_10
Tech,AAPL,1/27/2021,1/28/2021,1.68,1.41,0.27,0.113845998,-0.050089739,-0.003917856,-0.03408087,-0.037998726,6.12235981
Tech,AAPL,4/28/2021,4/29/2021,1.4,0.99,0.41,0.001038127,-0.008456564,-0.005298014,-0.0145023,-0.019800314,6.826403108
Tech,AAPL,7/27/2021,7/28/2021,1.3,1.01,0.29,-0.017711214,-0.01113385,-0.000521776,0.016114686,0.01559291,9.4346759
Tech,AAPL,10/28/2021,10/29/2021,1.24,1.24,0,0.007243732,-0.020787227,-0.00783098,-0.008482996,-0.016313976,5.507358876
Tech,AAPL,1/27/2022,1/28/2022,2.1,1.89,0.21,0.006095201,0.038941545,0.0035532,-0.013825385,-0.010272185,8.077503899
Tech,AAPL,4/28/2022,4/29/2022,1.52,1.43,0.09,0.005491798,0.006624664,-0.00670148,0.000391996,-0.006309483,8.240563232
Tech,AAPL,7/28/2022,7/29/2022,1.2,1.16,0.04,-0.015339485,0.013193506,-0.003395554,0.011657567,0.008262013,7.653962411
Tech,AAPL,10/27/2022,10/28/2022,1.29,1.27,0.02,-0.041511606,0.04525928,-0.007054839,-0.071814253,-0.078869092,5.673854845
Tech,AAPL,2/2/2023,2/3/2023,1.88,1.94,-0.06,0.01082952,0.039404685,-0.009024482,0.003877113,-0.00514737,2.173748985
Tech,AAPL,5/4/2023,5/5/2023,1.52,1.43,0.09,0.009123459,0.020320114,-0.000901914,-0.00175595,-0.002657863,7.035597302
Tech,AAPL,8/3/2023,8/4/2023,1.26,1.19,0.07,-0.008965616,-0.044485955,-0.028373426,0.000691565,-0.027681861,7.225810513
Tech,AAPL,11/2/2023,11/3/2023,1.46,1.39,0.07,0.01365792,-0.015418053,0.011953447,0.026551656,0.038505103,6.856770813
Tech,AAPL,2/1/2024,2/2/2024,2.18,2.1,0.08,-0.037671022,-0.016606314,0.01457286,-0.010828165,0.003744696,8.467098437
Tech,AAPL,5/2/2024,5/3/2024,1.53,1.5,0.03,0.023829724,0.049443664,-0.017483182,0.005835656,-0.011647526,6.701985747
Tech,AAPL,8/1/2024,8/2/2024,1.4,1.35,0.05,-0.006220068,0.027199303,-0.016278893,-0.000575663,-0.016854556,7.799074533
Tech,AAPL,10/31/2024,11/1/2024,1.64,1.6,0.04,-0.006719114,-0.019482095,-0.003053459,-0.038736888,-0.041790347,7.279149694
Tech,AAPL,1/30/2025,1/31/2025,2.4,2.36,0.04,0.067333977,-0.00237932,-0.028370717,-0.005865129,-0.034235845,7.897412726
Tech,AAPL,5/1/2025,5/2/2025,1.65,1.63,0.02,-0.001569994,-0.055724048,-0.023837396,-0.002133849,-0.025971245,9.207310854
Tech,AAPL,7/31/2025,8/1/2025,1.57,1.44,0.13,-0.020896269,-0.002750755,-0.014498301,0.113176773,0.098678471,4.933490744
Tech,AAPL,10/30/2025,10/31/2025,1.85,1.78,0.07,0.032217993,-0.00732361,-0.006784004,0.019969203,0.013185199,5.898848074
Tech,MSFT,1/26/2021,1/27/2021,2.03,1.64,0.39,0.05936792,0.037985511,0.015194044,0.007148559,0.022342603,4.981115023
Tech,MSFT,4/27/2021,4/28/2021,1.95,1.78,0.17,0.000448097,-0.027827249,-0.015116839,-0.011927915,-0.027044755,4.970084867
Tech,MSFT,7/27/2021,7/28/2021,2.17,1.92,0.25,0.001726607,-0.001429743,-0.004357634,0.001145428,-0.003212206,5.012575695
Tech,MSFT,10/26/2021,10/27/2021,2.27,2.07,0.2,-0.010746341,0.04669424,-0.008303621,0.010842846,0.002539226,4.969440056
Tech,MSFT,1/25/2022,1/26/2022,2.48,2.31,0.17,0.011090786,0.03128306,0.016300787,-0.028415141,-0.012114354,5.016603032
Tech,MSFT,4/26/2022,4/27/2022,2.22,2.19,0.03,0.035018508,0.044747828,-0.009955456,-0.00126385,-0.011219306,5.020141769
Tech,MSFT,7/26/2022,7/27/2022,2.23,2.29,-0.06,-0.027412696,0.034948461,0.012898235,-0.004544107,0.008354127,4.980960172
Tech,MSFT,10/25/2022,10/26/2022,2.35,2.3,0.05,0.005944209,-0.068533866,-0.013705369,-0.013771064,-0.027476433,5.01538231
Tech,MSFT,1/24/2023,1/25/2023,2.32,2.29,0.03,0.003649768,-0.005540303,0.016839389,0.002879258,0.019718648,4.979710355
Tech,MSFT,4/25/2023,4/26/2023,2.45,2.23,0.22,-0.019973767,0.077964816,0.004256557,0.011982143,0.0162387,4.978564559
Tech,MSFT,7/25/2023,7/26/2023,2.69,2.55,0.14,-0.035377867,-0.039523577,-0.014259546,-0.009554125,-0.023813671,4.960568529
